Date,GGD_name,Age_group,Positive_cases,Positive_cases_per100k
2021-10-04,Dienst Gezondheid & Jeugd ZHZ,0-9,6,12.005
2021-10-04,Dienst Gezondheid & Jeugd ZHZ,10-19,11,20.083
2021-10-04,Dienst Gezondheid & Jeugd ZHZ,20-29,19,35.519
2021-10-04,Dienst Gezondheid & Jeugd ZHZ,30-39,9,16.260
2021-10-04,Dienst Gezondheid & Jeugd ZHZ,40-49,10,17.676
2021-10-04,Dienst Gezondheid & Jeugd ZHZ,50-59,9,13.310
2021-10-04,Dienst Gezondheid & Jeugd ZHZ,60-69,4,7.269
2021-10-04,Dienst Gezondheid & Jeugd ZHZ,70-79,1,2.242
2021-10-04,Dienst Gezondheid & Jeugd ZHZ,80-89,3,15.079
2021-10-04,Dienst Gezondheid & Jeugd ZHZ,90+,1,26.674
2021-10-04,GGD Amsterdam,0-9,11,5.802
2021-10-04,GGD Amsterdam,10-19,22,11.912
2021-10-04,GGD Amsterdam,20-29,36,10.090
2021-10-04,GGD Amsterdam,30-39,37,10.582
2021-10-04,GGD Amsterdam,40-49,26,10.392
2021-10-04,GGD Amsterdam,50-59,18,7.323
2021-10-04,GGD Amsterdam,60-69,12,6.358
2021-10-04,GGD Amsterdam,70-79,2,1.653
2021-10-04,GGD Amsterdam,80-89,0,0.000
2021-10-04,GGD Amsterdam,90+,0,0.000
2021-10-04,GGD Brabant-Zuidoost,0-9,7,9.299
2021-10-04,GGD Brabant-Zuidoost,10-19,19,22.115
2021-10-04,GGD Brabant-Zuidoost,20-29,12,11.815
2021-10-04,GGD Brabant-Zuidoost,30-39,16,16.050
2021-10-04,GGD Brabant-Zuidoost,40-49,7,7.286
2021-10-04,GGD Brabant-Zuidoost,50-59,9,7.796
2021-10-04,GGD Brabant-Zuidoost,60-69,2,2.075
2021-10-04,GGD Brabant-Zuidoost,70-79,4,5.436
2021-10-04,GGD Brabant-Zuidoost,80-89,2,5.734
2021-10-04,GGD Brabant-Zuidoost,90+,0,0.000
2021-10-04,GGD Drenthe,0-9,3,6.540
2021-10-04,GGD Drenthe,10-19,13,22.558
2021-10-04,GGD Drenthe,20-29,9,18.658
2021-10-04,GGD Drenthe,30-39,7,13.618
2021-10-04,GGD Drenthe,40-49,6,10.010
2021-10-04,GGD Drenthe,50-59,6,7.752
2021-10-04,GGD Drenthe,60-69,6,8.526
2021-10-04,GGD Drenthe,70-79,5,9.068
2021-10-04,GGD Drenthe,80-89,2,8.218
2021-10-04,GGD Drenthe,90+,0,0.000
2021-10-04,GGD Flevoland,0-9,6,11.650
2021-10-04,GGD Flevoland,10-19,11,19.597
2021-10-04,GGD Flevoland,20-29,13,24.383
2021-10-04,GGD Flevoland,30-39,18,30.241
2021-10-04,GGD Flevoland,40-49,12,21.414
2021-10-04,GGD Flevoland,50-59,4,6.395
2021-10-04,GGD Flevoland,60-69,5,10.230
2021-10-04,GGD Flevoland,70-79,3,10.477
2021-10-04,GGD Flevoland,80-89,1,10.092
2021-10-04,GGD Flevoland,90+,0,0.000
2021-10-04,GGD Fryslân,0-9,15,23.582
2021-10-04,GGD Fryslân,10-19,27,34.522
2021-10-04,GGD Fryslân,20-29,10,13.445
2021-10-04,GGD Fryslân,30-39,12,16.890
2021-10-04,GGD Fryslân,40-49,14,18.026
2021-10-04,GGD Fryslân,50-59,11,11.266
2021-10-04,GGD Fryslân,60-69,4,4.657
2021-10-04,GGD Fryslân,70-79,5,7.361
2021-10-04,GGD Fryslân,80-89,1,3.384
2021-10-04,GGD Fryslân,90+,0,0.000
2021-10-04,GGD Gelderland-Zuid,0-9,5,9.056
2021-10-04,GGD Gelderland-Zuid,10-19,16,24.879
2021-10-04,GGD Gelderland-Zuid,20-29,16,19.872
2021-10-04,GGD Gelderland-Zuid,30-39,16,24.081
2021-10-04,GGD Gelderland-Zuid,40-49,9,13.260
2021-10-04,GGD Gelderland-Zuid,50-59,14,16.588
2021-10-04,GGD Gelderland-Zuid,60-69,13,18.449
2021-10-04,GGD Gelderland-Zuid,70-79,2,3.943
