Bin,2020,2021,2022
0-4,861472,857626,864653
5-9,911423,899827,894620
10-14,953204,954278,953188
15-19,1049158,1031735,1025356
20-24,1096566,1099101,1127506
25-29,1138965,1132942,1134506
30-34,1102103,1126489,1148479
35-39,1045828,1054086,1071971
40-44,1022008,1033488,1044047
45-49,1186068,1132574,1088454
50-54,1281826,1286131,1283070
55-59,1250592,1263557,1265493
60-64,1117798,1137661,1158497
65-69,996048,1003778,1017316
70-74,941219,971036,941425
75-79,633200,644060,713605
80-84,436056,449123,457540
85-89,256201,257809,262018
90-94,103118,105048,106740
95+,26713,26681,26809
